shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
S13_N,244,2025-06-14 15:25:27.507000,13.169,2025,6,14,15,25,27.5069999999851,41
S13_N,245,2025-06-14 15:25:37.329000,22.991,2025,6,14,15,25,37.3290000000298,41
S13_N,246,2025-06-14 15:25:49.618000,35.28,2025,6,14,15,25,49.6180000000149,41
S13_S,247,2025-06-14 15:26:33.357000,0.0,2025,6,14,15,26,33.3569999999627,42
S13_S,248,2025-06-14 15:26:37.090000,3.733,2025,6,14,15,26,37.0899999999702,42
S13_S,249,2025-06-14 15:26:41.230000,7.873,2025,6,14,15,26,41.2299999999851,42
S13_S,250,2025-06-14 15:26:48.608000,15.251,2025,6,14,15,26,48.6080000000075,42
S13_S,251,2025-06-14 15:26:52.910000,19.553,2025,6,14,15,26,52.9100000000298,42
S13_S,252,2025-06-14 15:26:56.992000,23.635,2025,6,14,15,26,56.9919999999702,42
S14_N,253,2025-06-14 15:28:08.026000,0.0,2025,6,14,15,28,8.0259999999553,43
S14_N,254,2025-06-14 15:28:15.236000,7.21,2025,6,14,15,28,15.2360000000298,43
S14_N,255,2025-06-14 15:28:22.929000,14.903,2025,6,14,15,28,22.929,43
S14_N,256,2025-06-14 15:28:27.341000,19.315,2025,6,14,15,28,27.3410000000149,43
S14_N,257,2025-06-14 15:28:31.649000,23.623,2025,6,14,15,28,31.6489999999776,43
S14_N,258,2025-06-14 15:28:36.001000,27.975,2025,6,14,15,28,36.0010000000447,43
S14_S,259,2025-06-14 15:28:53.484000,0.0,2025,6,14,15,28,53.4840000000522,44
S14_S,260,2025-06-14 15:28:57.751000,4.267,2025,6,14,15,28,57.7510000000447,44
S14_S,261,2025-06-14 15:29:01.835000,8.351,2025,6,14,15,29,1.83499999996275,44
S14_S,262,2025-06-14 15:29:05.697000,12.213,2025,6,14,15,29,5.6970000000447,44
S14_S,263,2025-06-14 15:29:09.728000,16.244,2025,6,14,15,29,9.728,44
S14_S,264,2025-06-14 15:29:13.653000,20.169,2025,6,14,15,29,13.6530000000522,44
